For King & Country [('Adele', 0.5225550342836521), ('Fireflight', 0.5194516487587996), ('Ashes Remain', 0.5028421512898994), ('Tenth Avenue North', 0.5007381163271332), ('Flyleaf', 0.4945431867789211), ('Lauren Daigle', 0.49108253836582333), ('Hillsong United', 0.4896792632581772), ('Nine Lashes', 0.4882017900732303), ('Matthew West', 0.48759439050701187), ('Red', 0.4873096446700508), ('Casting Crowns', 0.48444070647603027), ('Skillet', 0.4830945558739255), ('Chris Tomlin', 0.4748656338918748), ('We As Human', 0.4742785445420326), ('Maroon 5', 0.4657142857142857), ('Disciple', 0.45167604599951067), ('David Crowder Band', 0.45066836409929983), ('Demon Hunter', 0.43595634692705343), ('Lacey Sturm', 0.4216691068814056), ('Katy Perry', 0.4139941690962099), ('Taylor Swift', 0.413510747185261), ('Tobymac', 0.40994330571303966), ('Rihanna', 0.4041720990873533), ('Newsboys', 0.4018032144257154), ('NF', 0.3991816321891339), ('Aaron Cole', 0.39584010399740005), ('Justin Bieber', 0.3828780382878038), ('Lady Gaga', 0.3506829088224437), ('Ed Sheeran', 0.34688253530830176), ('Madonna', 0.3435523114355231), ('KB', 0.3426189122607542), ('Tedashii', 0.33694512408248867), ('Social Club Misfits', 0.3314203730272597), ('Trip Lee', 0.32477243172951886), ('Derek Minor', 0.3188597944978455), ('Andy Mineo', 0.31420720866332635), ('Ledger', 0.28797289666854886), ('Flame', 0.2831691186394925), ('Lecrae', 0.24143521020209663), ('Knowles', 0.0)]
Lauren Daigle [('Chris Tomlin', 0.5245664739884393), ('For King & Country', 0.49108253836582333), ('Hillsong United', 0.4843863471314452), ('Ashes Remain', 0.48414376321353064), ('Casting Crowns', 0.4766708701134931), ('Nine Lashes', 0.47600581677169174), ('Tenth Avenue North', 0.4752673796791444), ('We As Human', 0.46392785571142287), ('David Crowder Band', 0.46232253367309795), ('Fireflight', 0.4609375), ('Adele', 0.45791245791245794), ('Matthew West', 0.4509507998792635), ('Red', 0.44783010156971376), ('Lacey Sturm', 0.42926239419588874), ('Flyleaf', 0.42034139402560455), ('Skillet', 0.4187399030694669), ('Disciple', 0.38461538461538464), ('Demon Hunter', 0.3835438937479754), ('Maroon 5', 0.37552334943639293), ('Aaron Cole', 0.35272184936614465), ('Tobymac', 0.3383440706275352), ('Newsboys', 0.3356702783089016), ('Ledger', 0.32994186046511625), ('Katy Perry', 0.31643700787401574), ('Rihanna', 0.31091038744948896), ('Taylor Swift', 0.3082405345211581), ('NF', 0.3021978021978022), ('Justin Bieber', 0.29619181946403383), ('KB', 0.28226136829168375), ('Lady Gaga', 0.27672705554449534), ('Tedashii', 0.271071897878731), ('Ed Sheeran', 0.26094991683607466), ('Madonna', 0.25961871750433274), ('Trip Lee', 0.2584679520583637), ('Social Club Misfits', 0.2543910441999614), ('Derek Minor', 0.24366022344387303), ('Andy Mineo', 0.23515193370165746), ('Flame', 0.22184203022526375), ('Lecrae', 0.1806276811921427), ('Knowles', 0.0)]
Tobymac [('Matthew West', 0.4938046647230321), ('Taylor Swift', 0.46241560390097525), ('Newsboys', 0.46178436501017145), ('Tenth Avenue North', 0.45635765434488096), ('Rihanna', 0.45502977123158883), ('Casting Crowns', 0.4529642790349729), ('NF', 0.45217672762582944), ('Disciple', 0.44758820521561277), ('Katy Perry', 0.4475076133995833), ('Trip Lee', 0.44478063540090773), ('Tedashii', 0.43721674220207946), ('Skillet', 0.43719165085388995), ('Maroon 5', 0.4356060606060606), ('Justin Bieber', 0.43521543008243896), ('Ed Sheeran', 0.43079356709728445), ('KB', 0.42992773133059375), ('Derek Minor', 0.4259022267724597), ('Lady Gaga', 0.4248402333981662), ('Madonna', 0.4224040276903713), ('Social Club Misfits', 0.42088091353996737), ('Hillsong United', 0.41712314871170625), ('Andy Mineo', 0.416467930212125), ('Flyleaf', 0.4162823340685783), ('Chris Tomlin', 0.4106817722031155), ('For King & Country', 0.40994330571303966), ('Flame', 0.4076613342039395), ('Adele', 0.3981542518127884), ('Fireflight', 0.3898191560616209), ('Demon Hunter', 0.38540478905359177), ('David Crowder Band', 0.37992685900040635), ('Aaron Cole', 0.37842289479102326), ('Lecrae', 0.37233753285597754), ('Nine Lashes', 0.3468617272298254), ('Lauren Daigle', 0.3383440706275352), ('Ashes Remain', 0.33390705679862304), ('We As Human', 0.33181491249100936), ('Red', 0.3289564616447823), ('Lacey Sturm', 0.26064246539566466), ('Ledger', 0.1644607152914672), ('Knowles', 0.000628140703517588)]
Hillsong United [('Chris Tomlin', 0.5795778665145465), ('Casting Crowns', 0.5493606138107416), ('Tenth Avenue North', 0.5335120643431636), ('Skillet', 0.5134359509522567), ('Matthew West', 0.5124660577635152), ('David Crowder Band', 0.5078909612625538), ('Disciple', 0.5051918735891647), ('Fireflight', 0.5036160420775806), ('Flyleaf', 0.49802816901408453), ('For King & Country', 0.4896792632581772), ('Lauren Daigle', 0.4843863471314452), ('Ashes Remain', 0.48212927756653995), ('Nine Lashes', 0.4805426633345234), ('Adele', 0.47527296082209375), ('Newsboys', 0.4679522497704316), ('Demon Hunter', 0.4674509803921569), ('Red', 0.45798898071625344), ('We As Human', 0.45062179956108267), ('Maroon 5', 0.4350767629456154), ('Tobymac', 0.41712314871170625), ('Taylor Swift', 0.39288446824789597), ('Katy Perry', 0.392753019575177), ('Lacey Sturm', 0.3887959866220736), ('Rihanna', 0.3846309403437816), ('Trip Lee', 0.3753656658968437), ('KB', 0.3747330960854093), ('NF', 0.37368199072121466), ('Aaron Cole', 0.3701754385964912), ('Tedashii', 0.3614179719703215), ('Justin Bieber', 0.36017628205128205), ('Madonna', 0.35709895513214507), ('Ed Sheeran', 0.3512766303463978), ('Lady Gaga', 0.3391772261760111), ('Social Club Misfits', 0.3368812299374894), ('Derek Minor', 0.3308765877371805), ('Flame', 0.3268833849329205), ('Andy Mineo', 0.32618683001531396), ('Lecrae', 0.2759483117965819), ('Ledger', 0.26017029328287605), ('Knowles', 0.0)]
Casting Crowns [('Chris Tomlin', 0.5703363914373089), ('Matthew West', 0.5540389348847617), ('Hillsong United', 0.5493606138107416), ('Tenth Avenue North', 0.5390549662487946), ('Disciple', 0.5078382838283828), ('Skillet', 0.4982357092448836), ('Flyleaf', 0.4894153225806452), ('For King & Country', 0.48444070647603027), ('Fireflight', 0.484393063583815), ('David Crowder Band', 0.4821931847296951), ('Newsboys', 0.4813235544942862), ('Lauren Daigle', 0.4766708701134931), ('Adele', 0.4626274065685164), ('Demon Hunter', 0.45769502710346455), ('Maroon 5', 0.45716967847923023), ('Tobymac', 0.4529642790349729), ('Taylor Swift', 0.4498760184201204), ('Nine Lashes', 0.4448586517552035), ('Red', 0.4382901866345575), ('Katy Perry', 0.4241379310344828), ('Ashes Remain', 0.4238845144356955), ('Rihanna', 0.41469326869289574), ('Trip Lee', 0.4131346738029799), ('We As Human', 0.4118020304568528), ('NF', 0.4046511627906977), ('Justin Bieber', 0.4029574861367837), ('Madonna', 0.40196361536240255), ('Tedashii', 0.39487891408298625), ('KB', 0.3941702550513415), ('Ed Sheeran', 0.39043703365311405), ('Aaron Cole', 0.385617509119333), ('Lady Gaga', 0.37934940928952904), ('Social Club Misfits', 0.3739940034716743), ('Derek Minor', 0.36615158204562176), ('Andy Mineo', 0.3658606793321819), ('Flame', 0.3598531211750306), ('Lacey Sturm', 0.35444839857651245), ('Lecrae', 0.3141601757539445), ('Ledger', 0.21721958925750395), ('Knowles', 0.0)]
Chris Tomlin [('Hillsong United', 0.5795778665145465), ('Casting Crowns', 0.5703363914373089), ('Tenth Avenue North', 0.5405982905982906), ('David Crowder Band', 0.5372963703915404), ('Lauren Daigle', 0.5245664739884393), ('Matthew West', 0.5097170971709717), ('For King & Country', 0.4748656338918748), ('Disciple', 0.47434743474347435), ('Skillet', 0.4741356901481674), ('Flyleaf', 0.4595959595959596), ('Newsboys', 0.44806741161384867), ('Fireflight', 0.4469895287958115), ('Nine Lashes', 0.4447602131438721), ('Demon Hunter', 0.440739775983329), ('Adele', 0.4322250639386189), ('Ashes Remain', 0.43040847201210286), ('Red', 0.42152159013022616), ('We As Human', 0.41120815138282385), ('Tobymac', 0.4106817722031155), ('Maroon 5', 0.3961628208452165), ('Taylor Swift', 0.37046928653185807), ('Katy Perry', 0.36669435215946844), ('Lacey Sturm', 0.3624272651704073), ('Rihanna', 0.357733413994757), ('KB', 0.3510827121050763), ('Trip Lee', 0.35028422184667385), ('Aaron Cole', 0.3500291205591147), ('NF', 0.347771236333053), ('Madonna', 0.34467954615148727), ('Tedashii', 0.34051653232439544), ('Justin Bieber', 0.3403915301638034), ('Ed Sheeran', 0.331332143436638), ('Lady Gaga', 0.32346320346320345), ('Social Club Misfits', 0.3161975391875948), ('Flame', 0.31573525624517124), ('Derek Minor', 0.31513065248005007), ('Andy Mineo', 0.3099022004889976), ('Lecrae', 0.25889698231009367), ('Ledger', 0.24154135338345864), ('Knowles', 0.0)]
David Crowder Band [('Chris Tomlin', 0.5372963703915404), ('Hillsong United', 0.5078909612625538), ('Tenth Avenue North', 0.5038947085683588), ('Casting Crowns', 0.4821931847296951), ('Matthew West', 0.4698318496538081), ('Lauren Daigle', 0.46232253367309795), ('For King & Country', 0.45066836409929983), ('Flyleaf', 0.4504657070279424), ('Skillet', 0.4443282801881861), ('Adele', 0.43965239781139365), ('Disciple', 0.4359032330997061), ('Nine Lashes', 0.4345025053686471), ('Fireflight', 0.4329489291598023), ('Ashes Remain', 0.4247045367899352), ('Red', 0.4190541939937867), ('Demon Hunter', 0.4075432163436354), ('Maroon 5', 0.4040667361835245), ('Newsboys', 0.4012504597278411), ('We As Human', 0.39897323065639895), ('Tobymac', 0.37992685900040635), ('Katy Perry', 0.3678832116788321), ('Taylor Swift', 0.3627657536870331), ('Rihanna', 0.3572296476306197), ('Lacey Sturm', 0.3488469601677149), ('Justin Bieber', 0.34704112337011034), ('Aaron Cole', 0.3416349252856724), ('NF', 0.33833157338965153), ('KB', 0.33172991270265456), ('Madonna', 0.3288724811567451), ('Trip Lee', 0.32675709001233044), ('Tedashii', 0.32585011554968635), ('Ed Sheeran', 0.3253012048192771), ('Lady Gaga', 0.32151546750086896), ('Social Club Misfits', 0.3044654939106901), ('Derek Minor', 0.3001569858712716), ('Andy Mineo', 0.29863559711789056), ('Flame', 0.292317624273725), ('Lecrae', 0.24298675565752426), ('Ledger', 0.23635500711912671), ('Knowles', 0.0)]
Matthew West [('Casting Crowns', 0.5540389348847617), ('Tenth Avenue North', 0.5493121939846118), ('Disciple', 0.5139306474243336), ('Hillsong United', 0.5124660577635152), ('Chris Tomlin', 0.5097170971709717), ('Skillet', 0.5086520947176685), ('Taylor Swift', 0.503196820459651), ('Maroon 5', 0.4947751022262608), ('Tobymac', 0.4938046647230321), ('Flyleaf', 0.4911170601119494), ('For King & Country', 0.48759439050701187), ('Newsboys', 0.48634243837441704), ('Adele', 0.4813503947726654), ('Fireflight', 0.47875590113857264), ('David Crowder Band', 0.4698318496538081), ('Katy Perry', 0.4663309084126096), ('Justin Bieber', 0.4586560980003603), ('NF', 0.4572722127900396), ('Demon Hunter', 0.45666058394160586), ('Rihanna', 0.45530523255813954), ('Lauren Daigle', 0.4509507998792635), ('Red', 0.43315044758879584), ('Ashes Remain', 0.43273753527751646), ('Nine Lashes', 0.43154761904761907), ('Ed Sheeran', 0.4254621347644603), ('Madonna', 0.42479128343002687), ('Lady Gaga', 0.4224683544303797), ('Tedashii', 0.42240338164251207), ('Trip Lee', 0.421321236178055), ('KB', 0.41916167664670656), ('Social Club Misfits', 0.41185551096017287), ('We As Human', 0.4093531733981172), ('Derek Minor', 0.4091695501730104), ('Aaron Cole', 0.4086453882885147), ('Andy Mineo', 0.3879249541543236), ('Flame', 0.3766093129587294), ('Lacey Sturm', 0.3429345984412064), ('Lecrae', 0.33697685869030036), ('Ledger', 0.21099887766554434), ('Knowles', 0.0)]
Tenth Avenue North [('Matthew West', 0.5493121939846118), ('Chris Tomlin', 0.5405982905982906), ('Casting Crowns', 0.5390549662487946), ('Hillsong United', 0.5335120643431636), ('Fireflight', 0.5158536585365854), ('Skillet', 0.5089658560550233), ('Disciple', 0.5077120822622108), ('David Crowder Band', 0.5038947085683588), ('For King & Country', 0.5007381163271332), ('Flyleaf', 0.49208025343189016), ('Adele', 0.48269689737470167), ('Maroon 5', 0.48076451850036755), ('Lauren Daigle', 0.4752673796791444), ('Demon Hunter', 0.46123554024120106), ('Newsboys', 0.46067218018652123), ('Red', 0.4576702737110121), ('Tobymac', 0.45635765434488096), ('Ashes Remain', 0.45467224546722457), ('Nine Lashes', 0.45343863112866073), ('We As Human', 0.4448183041722746), ('Taylor Swift', 0.4442005122575924), ('Katy Perry', 0.42936507936507934), ('Rihanna', 0.4233069650781401), ('NF', 0.41244979919678715), ('Justin Bieber', 0.4091778202676864), ('Aaron Cole', 0.4007654455986878), ('KB', 0.39638101741208603), ('Madonna', 0.39519715386895937), ('Tedashii', 0.3906076471521498), ('Trip Lee', 0.39031635229466805), ('Lady Gaga', 0.388064677446241), ('Ed Sheeran', 0.3867230311570377), ('Social Club Misfits', 0.3673867143089167), ('Derek Minor', 0.3667422524565382), ('Lacey Sturm', 0.36045627376425854), ('Andy Mineo', 0.358451536643026), ('Flame', 0.3504380475594493), ('Lecrae', 0.30099654260728087), ('Ledger', 0.23809523809523808), ('Knowles', 0.0)]
Newsboys [('Matthew West', 0.48634243837441704), ('Disciple', 0.48441171862760457), ('Casting Crowns', 0.4813235544942862), ('Hillsong United', 0.4679522497704316), ('Taylor Swift', 0.46567330455368333), ('Tobymac', 0.46178436501017145), ('Tenth Avenue North', 0.46067218018652123), ('Skillet', 0.4538541306602143), ('Trip Lee', 0.45288825757575757), ('Katy Perry', 0.4488527017024426), ('Chris Tomlin', 0.44806741161384867), ('Madonna', 0.44675570263562225), ('Ed Sheeran', 0.44235991113305356), ('Rihanna', 0.4412873296607712), ('Flyleaf', 0.4317644920952208), ('KB', 0.43100488577842333), ('Tedashii', 0.4307807433275131), ('Derek Minor', 0.4304921968787515), ('Flame', 0.4302936630602782), ('NF', 0.4268857356235997), ('Maroon 5', 0.42581090407177363), ('Andy Mineo', 0.42555699634563243), ('Lady Gaga', 0.4187192118226601), ('Justin Bieber', 0.4175665946724262), ('Demon Hunter', 0.4105226722049152), ('Social Club Misfits', 0.40853658536585363), ('For King & Country', 0.4018032144257154), ('David Crowder Band', 0.4012504597278411), ('Lecrae', 0.3974370075331197), ('Adele', 0.3951055851588711), ('Fireflight', 0.39119119119119117), ('Red', 0.3483631871525633), ('Aaron Cole', 0.3420807742415783), ('Nine Lashes', 0.33824148085822464), ('Lauren Daigle', 0.3356702783089016), ('Ashes Remain', 0.32598734453414796), ('We As Human', 0.32344783443567315), ('Lacey Sturm', 0.2481012658227848), ('Ledger', 0.15097123186624048), ('Knowles', 0.0)]
Ashes Remain [('Fireflight', 0.5458715596330275), ('Nine Lashes', 0.5446106240330068), ('Red', 0.534769833496572), ('We As Human', 0.5341880341880342), ('For King & Country', 0.5028421512898994), ('Adele', 0.4920071047957371), ('Lauren Daigle', 0.48414376321353064), ('Hillsong United', 0.48212927756653995), ('Lacey Sturm', 0.4718954248366013), ('Flyleaf', 0.46726190476190477), ('Tenth Avenue North', 0.45467224546722457), ('Skillet', 0.4503534163581286), ('Demon Hunter', 0.4353695578805265), ('Matthew West', 0.43273753527751646), ('Chris Tomlin', 0.43040847201210286), ('David Crowder Band', 0.4247045367899352), ('Casting Crowns', 0.4238845144356955), ('Maroon 5', 0.4213351224421335), ('Disciple', 0.4086322869955157), ('Ledger', 0.37859424920127793), ('Aaron Cole', 0.37294761532447224), ('Katy Perry', 0.34213197969543147), ('NF', 0.3402061855670103), ('Rihanna', 0.33455792309576293), ('Tobymac', 0.33390705679862304), ('Taylor Swift', 0.32844709115895554), ('Newsboys', 0.32598734453414796), ('Justin Bieber', 0.3162227602905569), ('KB', 0.28415300546448086), ('Lady Gaga', 0.2767911818738518), ('Ed Sheeran', 0.27274446756194437), ('Tedashii', 0.26945992696521237), ('Social Club Misfits', 0.2677476764880364), ('Madonna', 0.2624867162592986), ('Trip Lee', 0.25847683294869517), ('Derek Minor', 0.2549410698096102), ('Andy Mineo', 0.24382498235709246), ('Flame', 0.21799709724238026), ('Lecrae', 0.1792992901305244), ('Knowles', 0.0)]
